506
506 1280
      col_name  feature_importance_vals
677        678                 0.751230
337        338                 0.747809
15          16                 0.747439
695        696                 0.744239
384        385                 0.741047
696        697                 0.740551
520        521                 0.738606
1033      1034                 0.737709
1240      1241                 0.737562
845        846                 0.735802
1146      1147                 0.732133
129        130                 0.729570
371        372                 0.729170
322        323                 0.728114
1242      1243                 0.726428
3            4                 0.724475
389        390                 0.720993
999       1000                 0.720570
945        946                 0.720566
415        416                 0.720555
686        687                 0.716193
1027      1028                 0.715017
419        420                 0.712690
347        348                 0.711675
526        527                 0.709361
455        456                 0.708346
117        118                 0.707097
670        671                 0.704287
1192      1193                 0.702114
1162      1163                 0.698050
144        145                 0.696629
83          84                 0.687530
720        721                 0.686880
177        178                 0.678732
903        904                 0.676987
502        503                 0.671481
649        650                 0.670379
1228      1229                 0.668737
81          82                 0.664121
645        646                 0.660325
893        894                 0.658191
1229      1230                 0.658008
1127      1128                 0.644801
544        545                 0.644491
826        827                 0.643144
320        321                 0.640865
262        263                 0.640233
563        564                 0.637433
406        407                 0.637332
430        431                 0.631688
280        281                 0.630419
603        604                 0.628322
1136      1137                 0.626236
552        553                 0.613657
511        512                 0.597737
342        343                 0.592616
239        240                 0.562238
577        578                 0.554973
